Designation (and name)	Prov	. Des.	q	Q	EMoid	H	Epoch	M	Peri.	Node	Incl.	e	a	Opps.	Ref.	Designation (and name)	"Discovery date, site and discoverer(s)"
	2013	AT72	0.315	1.042	0.02064	24.2	20131104	5.7	167.7	118.2	15	0.536	0.678	( 10d)	MPO250177	2013 AT72	2013 01 13  703  Catalina Sky Survey
	2013	AF69	0.583	1.388	0.15024	22.5	20131104	32.2	220.4	116.5	28.4	0.408	0.986	(  7d)	MPO250176	2013 AF69	2013 01 12  703  Catalina Sky Survey
	2013	AF53	0.801	1.187	0.01884	26.5	20131104	215.6	105.6	107.3	12.9	0.194	0.994	(  3d)	MPO250174	2013 AF53	2013 01 09  703  Catalina Sky Survey
	2012	YD7	0.688	1.074	0.01753	24.3	20131104	195.9	201.6	72.8	2.5	0.219	0.881	( 27d)	MPO254826	2012 YD7	2012 12 23  F51  Pan-STARRS 1
	2012	YK	0.468	1.051	0.03292	22.8	20131104	315.6	165.4	88.7	11.3	0.384	0.759	( 21d)	MPO252148	2012 YK	2012 12 17  704  LINEAR
	2012	XM145	0.705	1.049	0.05408	20.2	20131104	231.7	345.1	249.4	26.2	0.197	0.877	2	MPO254825	2012 XM145	2012 12 13  704  LINEAR
	2012	XO134	0.606	1.344	0.01787	23.9	20131104	47.1	199	124.8	1.4	0.378	0.975	2	MPO279260	2012 XO134	2012 12 13  703  Catalina Sky Survey
	2012	XE133	0.41	1.036	0.00262	23.4	20131104	351.4	337.1	281.1	6.7	0.433	0.723	( 28d)	MPO252145	2012 XE133	2012 12 12  703  Catalina Sky Survey
	2012	XS111	0.387	1.16	0.04771	22.1	20131104	308.7	191.9	62.3	7.6	0.5	0.773	( 33d)	MPO252143	2012 XS111	2012 12 10  F51  Pan-STARRS 1
	2012	XN55	0.409	1.088	0.06541	23.9	20131104	288.9	15	256.3	29.1	0.454	0.749	(  6d)	MPO247321	2012 XN55	2012 12 08  703  Catalina Sky Survey
	2012	XL16	0.809	1.162	0.01829	25.5	20131104	71.5	58.5	259.6	3.1	0.179	0.986	( 11d)	MPO252137	2012 XL16	2012 12 06  703  Catalina Sky Survey
	2012	WQ10	0.756	1.128	0.13146	22.5	20131104	173.6	191.1	59.9	17.8	0.198	0.942	( 23d)	MPO248938	2012 WQ10	2012 11 22  703  Catalina Sky Survey
	2012	WH1	0.543	1.093	0.00685	23.9	20131104	336	147	64.1	4.6	0.336	0.818	( 12d)	MPO248937	2012 WH1	2012 11 19  704  LINEAR
	2012	WH	0.775	1.039	0.0339	25.5	20131104	209.8	8.6	235.2	4.1	0.145	0.907	( 27d)	MPO248937	2012 WH	2012 11 17  G96  Mt. Lemmon Survey
	2012	VJ77	0.583	1.202	0.0611	22.7	20131104	164.8	221.1	51.5	29.9	0.346	0.893	( 28d)	MPO248934	2012 VJ77	2012 11 14  704  LINEAR
	2012	VS76	0.609	1.374	0.00198	26.9	20131104	284.1	284.3	242.4	0.8	0.386	0.992	(  3d)	MPO244151	2012 VS76	2012 11 13  703  Catalina Sky Survey
	2012	VE46	0.455	0.971	0.03255	20.3	20131104	73.4	190.4	8.9	6.7	0.362	0.713	( 37d)	MPO248931	2012 VE46	2012 11 06  F51  Pan-STARRS 1
	2012	VC26	0.766	1.137	0.00304	28.7	20131104	287.6	119.4	43.1	1.5	0.195	0.952	(  4d)	MPO244126	2012 VC26	2012 11 06  G96  Mt. Lemmon Survey
	2012	VZ19	0.733	1.231	0.01109	25.6	20131104	102.4	221.4	57.9	1.2	0.254	0.982	(  2d)	MPO244123	2012 VZ19	2012 11 05  F51  Pan-STARRS 1
