IMAGE   JD              AIRMASS  M_inst  M_cal   ERR
n3.169  2454676.853045  1.287    13.331  13.272  0.096
n3.170  2454676.853627  1.284    13.353  13.274  0.096
n3.171  2454676.854205  1.279    13.361  13.277  0.096
n3.172  2454676.854806  1.279    13.403  13.278  0.096
n3.173  2454676.855387  1.276    13.393  13.272  0.096
n3.174  2454676.855966  1.273    13.423  13.283  0.096
n3.175  2454676.856548  1.271    13.423  13.275  0.096
n3.176  2454676.857129  1.268    13.454  13.282  0.096
n3.177  2454676.857709  1.266    13.321  13.282  0.096
n3.178  2454676.858302  1.263    13.346  13.284  0.096
n3.179  2454676.858882  1.261    13.349  13.285  0.096
n3.180  2454676.859462  1.258    13.367  13.287  0.096
n3.181  2454676.860043  1.256    13.379  13.282  0.096
n3.182  2454676.860623  1.253    13.397  13.289  0.096
n3.183  2454676.861206  1.251    13.408  13.290  0.096
n3.184  2454676.861791  1.248    13.457  13.289  0.096
n3.185  2454676.862377  1.246    13.326  13.286  0.096
n3.186  2454676.862959  1.244    13.325  13.286  0.096
n3.187  2454676.863542  1.241    13.344  13.293  0.096
n3.188  2454676.864124  1.239    13.357  13.295  0.096
n3.189  2454676.864707  1.237    13.367  13.296  0.096
n3.190  2454676.865294  1.235    13.389  13.294  0.096
n3.191  2454676.865876  1.233    13.407  13.299  0.096
n3.192  2454676.866461  1.230    13.432  13.300  0.096
n3.193  2454676.867045  1.228    13.311  13.299  0.096
n3.194  2454676.867629  1.226    13.329  13.300  0.096
n3.195  2454676.868212  1.224    13.348  13.303  0.096
n3.196  2454676.868795  1.222    13.373  13.305  0.096
n3.197  2454676.869375  1.220    13.378  13.304  0.096
n3.255  2454676.904537  1.135    13.336  13.364  0.096
n3.256  2454676.905118  1.134    13.334  13.366  0.096
n3.257  2454676.905698  1.133    13.334  13.366  0.096
n3.258  2454676.906283  1.133    13.330  13.369  0.096
n3.259  2454676.906865  1.132    13.338  13.368  0.096
n3.260  2454676.907445  1.131    13.339  13.370  0.096
n3.261  2454676.908025  1.130    13.334  13.368  0.096
n3.262  2454676.908608  1.130    13.343  13.373  0.096
n3.263  2454676.909189  1.129    13.341  13.376  0.096
n3.264  2454676.909773  1.128    13.340  13.374  0.096
n3.265  2454676.910354  1.127    13.332  13.370  0.096
n3.266  2454676.910935  1.127    13.322  13.371  0.096
n3.267  2454676.911516  1.126    13.321  13.370  0.096
n3.268  2454676.912096  1.126    13.324  13.370  0.096
n3.269  2454676.912677  1.125    13.338  13.376  0.096
n3.270  2454676.913258  1.124    13.327  13.373  0.096
n3.271  2454676.913839  1.124    13.338  13.372  0.096
n3.272  2454676.914420  1.123    13.329  13.374  0.096
n3.273  2454676.915000  1.123    13.325  13.376  0.096
n3.274  2454676.915580  1.122    13.329  13.377  0.096
n3.275  2454676.916161  1.122    13.316  13.373  0.096
n3.276  2454676.916741  1.121    13.327  13.376  0.096
n3.277  2454676.917323  1.121    13.327  13.372  0.096
n3.278  2454676.917904  1.120    13.334  13.375  0.096
n3.279  2454676.918485  1.120    13.346  13.375  0.096
n3.280  2454676.919067  1.119    13.363  13.373  0.096
n3.281  2454676.919648  1.119    13.343  13.377  0.096
n3.282  2454676.920229  1.119    13.328  13.378  0.096
n3.283  2454676.920812  1.118    13.340  13.374  0.096
