full_name,pdes,name,H,diameter,extent,rot_per,H_sigma,diameter_sigma,moid
 11284 Belenus (1990 BA),11284,Belenus,18.1,,,,,,0.168789
 11311 Peleus (1993 XN2),11311,Peleus,16.2,,,,,,0.0969234
 11398 (1998 YP11),11398,,16.3,,,38.6,,,0.202992
 11405 (1999 CV3),11405,,15.2,,,6.504,,,0.11801
 11500 Tomaiyowit (1989 UR),11500,Tomaiyowit,18.4,,,73,,,0.0338767
 11885 Summanus (1990 SS),11885,Summanus,18.5,,,7.358,,,0.0677285
 12538 (1998 OH),12538,,15.8,,,,,,0.0285561
 12711 Tukmit (1991 BB),12711,Tukmit,15.8,,,3.4848,,,0.111616
 12923 Zephyr (1999 GK4),12923,Zephyr,15.8,,,3.891,,,0.0219887
 13553 Masaakikoyama (1992 JE),13553,Masaakikoyama,16.3,,,38,,,0.188445
 13651 (1997 BR),13651,,17.6,,,33.644,,,0.0147376
 14402 (1991 DB),14402,,18.6,0.6,,2.2656,,,0.102881
 14827 Hypnos (1986 JK),14827,Hypnos,18.3,0.9,,,,,0.0148525
 15745 Yuliya (1991 PM5),15745,Yuliya,17.2,,,,,,0.295235
 15817 Lucianotesi (1994 QC),15817,Lucianotesi,18.5,,,11,,,0.247937
 16064 Davidharvey (1999 RH27),16064,Davidharvey,16.8,,,178.5,,,0.202966
 16636 (1993 QP),16636,,18.7,,,,,,0.234875
 16657 (1993 UB),16657,,16.6,,,,,,0.251061
 16816 (1997 UF9),16816,,16.1,,,,,,0.379209
 16834 (1997 WU22),16834,,15.5,1.87,,9.345,,,0.145695
 16912 Rhiannon (1998 EP8),16912,Rhiannon,18,,,,,,0.320647
 16960 (1998 QS52),16960,,14.3,,,5.789,,,0.0142739
 17181 (1999 UM3),17181,,16.3,,,,,,0.0707155
 17182 (1999 VU),17182,,16.9,,,,,,0.143876
 17188 (1999 WC2),17188,,16.5,,,5.352,,,0.0645328
 17274 (2000 LC16),17274,,16.6,,,16.495,,,0.19458
 17511 (1992 QN),17511,,17.1,,,5.9902,,,0.132376
 18106 Blume (2000 NX3),18106,Blume,17.7,,,,,,0.192153
 18109 (2000 NG11),18109,,17,,,4.2534,,,0.190021
 18172 (2000 QL7),18172,,15.4,,,,,,0.368484
 18736 (1998 NU),18736,,15.8,,,,,,0.216383
 18882 (1999 YN4),18882,,15.9,,,,,,0.431387
 19356 (1997 GH3),19356,,16.8,0.91,,6.714,,,0.105079
 19764 (2000 NF5),19764,,15.9,,,59.3,,,0.223172
 20086 (1994 LW),20086,,16.8,,,,,,0.309991
 20236 (1998 BZ7),20236,,17.6,,,10.182,,,0.0521284
 20255 (1998 FX2),20255,,18.2,,,6.826,,,0.1056
 20425 (1998 VD35),20425,,20.4,,,,,,0.00321513
 20429 (1998 YN1),20429,,17.6,,,2.718,,,0.0564353
 20460 Robwhiteley (1999 LO28),20460,Robwhiteley,15.2,,,,,,0.330031
 20790 (2000 SE45),20790,,16.4,,,2.792,,,0.217996
 20826 (2000 UV13),20826,,13.7,,,12,,,0.0809517
 21277 (1996 TO5),21277,,16,,,,,,0.316079
 21374 (1997 WS22),21374,,17.3,,,,,,0.10921
 22099 (2000 EX106),22099,,18,,,6.334,,,0.167887
 22753 (1998 WT),22753,,17.7,,,10.24,,,0.0335242
 22771 (1999 CU3),22771,,16.8,,,3.782,,,0.0631925
 23183 (2000 OY21),23183,,15.9,,,6.981,,,0.256125
 23187 (2000 PN9),23187,,16.1,,,2.5325,,,0.0145638
 23548 (1994 EF2),23548,,17.1,,,,,,0.245788
 23606 (1996 AS1),23606,,18.5,,,,,,0.102117
 23714 (1998 EC3),23714,,16.6,,,,,,0.0802353
 24443 (2000 OG),24443,,16.2,,,,,,0.152295
 24445 (2000 PM8),24445,,14.6,,,6.811,,,0.0810779
 24475 (2000 VN2),24475,,16.3,,,,,,0.150554
 24761 Ahau (1993 BW2),24761,Ahau,17.2,,,,,,0.100694
 25143 Itokawa (1998 SF36),25143,Itokawa,19.2,0.33,0.535x0.294x0.209,12.132,,,0.0130603
 25330 (1999 KV4),25330,,16.6,3.21,,4.919,,,0.172516
 25916 (2001 CP44),25916,,13.4,,,4.19,,,0.2789
 26166 (1995 QN3),26166,,16.8,,,,,,0.273286
 26310 (1998 TX6),26310,,19.2,,,,,,0.15435
 26379 (1999 HZ1),26379,,18,,,,,,0.131291
 26663 (2000 XK47),26663,,18.1,,,2.572,,,0.0354913
 26760 (2001 KP41),26760,,15.3,,,5.3,,,0.266253
 26817 (1987 QB),26817,,19.5,,,,,,0.126576
 27002 (1998 DV9),27002,,18.2,,,,,,0.00262065
 27031 (1998 RO4),27031,,17.8,,,,,,0.231669
 27346 (2000 DN8),27346,,15.8,,,,,,0.443618
 29075 (1950 DA),29075,,17.1,,,2.1216,,,0.0399772
 30825 (1990 TG1),30825,,14.8,,,2.62428,,,0.069485
 30997 (1995 UO5),30997,,17,,,,,,0.402903
 31210 (1998 BX7),31210,,16.2,,,,,,0.356453
 31221 (1998 BP26),31221,,17.1,,,2.24,,,0.292497
 31345 (1998 PG),31345,,17.3,,,2.5162,,,0.232775
 31346 (1998 PB1),31346,,17.2,,,,,,0.141727
 31662 (1999 HP11),31662,,19.5,,,,,,0.12441
 31669 (1999 JT6),31669,,16,,,5.807,,,0.00107132
 32906 (1994 RH),32906,,15.8,,,2.569,,,0.451211
 33342 (1998 WT24),33342,,17.9,,,3.697,,,0.00985017
 34613 (2000 UR13),34613,,15.9,,,,,,0.280526
 35107 (1991 VH),35107,,16.7,,,2.6236,,,0.0266847
 35396 (1997 XF11),35396,,16.9,,,3.259,,,0.000408275
 35432 (1998 BG9),35432,,19.3,,,,,,0.168096
