(12753) Povenmire,,12.854,0.45,2
(1276) Ucclia,,4.9,0.38,1
(1277) Dolores,,17.19,0.45,3
(1278) Kenya,,46,0.14-0.28,2
(1279) Uganda,,23.2,0.16,1
(128) Nemesis,,39,0.1,3
(1280) Baillauda,,12.6,0.25,2
(1281) Jeanne,,15.2,0.45,2
(1282) Utopia,*,13.623,0.29-0.36,3
(1284) Latvia,,9.644,0.21,2
(1285) Julietta,,6.7,0.07,1
(1286) Banachiewicz,a,8.63,0.54,3
(1288) Santa,,8.28,0.46,2
(1289) Kutaissi,,3.6,0.4,3
(129) Antigone,,4.9572,0.21-0.49,4
(1291) Phryne,,5.55,0.86,3
(12923) Zephyr,,3.891,0.18,3 N
(1294) Antwerpia,*,6.63,0.4,3
(1296) Andree,,5.184,0.25,3
(1297) Quadea,*,6.267,0.36,3
(12989) 1981 EV9,,5.67,0.79,2
(1299) Mertona,,4.977,0.55,3
(13) Egeria,,7.045,0.12,3
(130) Elektra,,5.225,0.19-0.58,4 B
(1301) Yvonne,,7.32,0.6,3
(13014) Hasslacher,,7.62,0.21,1
(1304) Arosa,,4.67,0.17,2
(1305) Pongola,,8.03,0.18,2
(1306) Scythia,,15.05,0.18,3
(1307) Cimmeria,*,2.82,0.31,3
(1308) Halleria,*,6.028,0.17,3
(1309) Hyperborea,,13.95,0.4,2
(1310) Villigera,,7.83,0.39,3
(1313) Berna,,25.46,0.25,3 B
(13154) Petermrva,*,2.985,2     0.18,3
(1316) Kasan,*,5.83,0.26,3
(1317) Silvretta,,7.048,0.3,3
(1319) Disa,*,7.08,0.26,3
(132) Aethra,*,5.168,0.10-0.52,3
(1320) Impala,,4,0.23,2
(1321) Majuba,,6.78,>0.43,2
(1322) Coppernicus,,3.967,0.22,2
(1324) Knysna,,2.56,0.04,1
(1325) Inanda,,8,0.04,1 D
(1329) Eliane,,8,0.08,2
(133) Cyrene,,12.708,0.26,3
(1330) Spiridonia,*,9.67,0.16,3
(1331) Solvejg,,>10.,>0.3,1:00 PM
(1333) Cevenola,,4.88,0.97,3
(1335) Demoulina,,0.24,0.06,1
(1337) Gerarda,,12.52,0.23,2
(134) Sophrosyne,,17.196,0.19,3
(1340) Yvette,,3.525,0.16,2
(1341) Edmee,,11.89,0.3,2
(1343) Nicole,*,,,1 N
(1345) Potomac,,11.4,0.22,2
(1346) Gotha,,11.19,0.12,2
(135) Hertha,,8.4006,0.12-0.30,4
(1350) Rosselia,,6,0.3,2:00 PM
(1351) Uzbekistania,,73.9,0.34,2
(13553) 1992 JE,*,38,1.1,2 NT
(1356) Nyanza,*,12.422,0.28,3
(136) Austria,,11.5,>0.40,3
(1360) Tarka,,8.87,0.82,3
(1362) Griqua,,6.907,0.25,3
(13651) 1997 BR,,33.644,1.2,3 T
(1366) Piccolo,,16.57,0.33,2
(1367) Nongoma,,long,0.3,1
(1368) Numidia,,3.64,0.35,3
(1369) Ostanina,,8.397,0.82,3 N
(137) Meliboea,,15.13,0.11-0.20,2
(1373) Cincinnati,,5.28,0.14,2
(1374) Isora,,8,0.2,1
(1376) Michelle,,6,0.19,3
(13765) Nansmith,*,10.51,0.07,2
(1378) Leonce,,4.325,0.5,3
(1379) Lomonosowa,,24.71,>0.51,2
(138) Tolosa,*,10.101,0.4,4
(1382) Gerti,,3.082,0.29,3
(1384) Kniertje,,9.44,0.13,1
(13856) 1999 XZ105,,4.4475,0.45,3
(1386) Storeria,,8.67,1.4,3
(1388) Aphrodite,,11.95,0.35,2
(1389) Onnie,,22.5,0.34,2
(139) Juewa,,20.991,0.18-0.20,4
(1390) Abastumani,,17.1,0.15,2
(13906) Shunda,*,2.749,0.09,3 N
(1392) Pierre,,18,0.09,2
(1397) Umtata,,30,0.13,1
(14) Irene,,15.06,0.04-0.12,4
(140) Siwa,,18.495,0.06,2
(1400) Tirela,,13.356,0.55,2
(1403) Idelsonia,,5.458,>0.1,3
(1404) Ajax,,28.4,>0.25,1
(1409) Isko,,11.644,0.23,2
(141) Lumen,*,19.86,0.09-0.2,2
(14141) Demeautis,*,2.897,0.14,2
(1416) Renauxa,,4.3,0.4,2
(1419) Danzig,,8,0.92,3
(142) Polana,,9.764,0.11,3
(1423) Jose,,12.307,0.68,3
(1425) Tuorla,,6.967,0.35,2
(14257) 2000 AR97,*,13.584,0.66,3 N
(1426) Riviera,,4.404,0.3,3
(1427) Ruvuma,*,4.797,0.3,3
(1429) Pemba,,>20.,>0.3,1
(143) Adria,,11,,1
(1434) Margot,,8.17,0.52,3
(14362) 1988 MH,,3.639,0.44,3
(1437) Diomedes,,24.46,0.22-0.70,2
(14376) 1989 ST10,,5.614,0.64,3
(1439) Vogtia,,12.95,0.33,3
(144) Vibilia,,13.819,0.13,3
(14402) 1991 DB,,2.266,0.11-0.20,2 N
(1441) Bolyai,,,,
(1444) Pannonia,,10.756,0.16,3
(145) Adeona,,8.1,0.08,2
(1450) Raimonda,*,12.66,0.57,2
(1452) Hunnia,,17.2,>0.34,2
(1453) Fennia,,6,0.13,2
(1458) Mineura,,,,
(1459) Magnya,*,4.678,0.58-0.84,3
(146) Lucina,,18.557,0.08,3
(1461) Jean-Jacques,*,16.56,0.09,2
(14653) 1998 YV11,,11.389,0.2,2
(1467) Mashona,,9.76,0.24,3
(1468) Zomba,,2.77,0.3,2
(1469) Linzia,,6.067,0.42,1
(147) Protogeneia,,7.853,0.25,3
(1471) Tornio,*,6.6,0.07-0.20,3
(1474) Beira,,4.184,0.18,3
(14761) 6608 P-L,,7.03,0.27,2
(1477) Bonsdorffia,*,7.5,0.01,1
(1478) Vihuri,,19.5,0.23,1
(148) Gallia,,20.664,0.32,3
(1481) Tubingia,,160,0.55,1
(1482) Sebastiana,,10.45,0.7,3
(14827) Hypnos,,,0.05,
(14835) Holdridge,*,>10.,>0.08,2 N
(149) Medusa,,26,>0.33,2
(1490) Limpopo,*,6.647,0.15,3
(14923) 1994 TU3,,30,0.7,1
(1499) Pori,,3.36,0.28,3
(15) Eunomia,,6.083,0.4 -0.56,4
(150) Nuwa,,8.14,0.09,2
(1501) Baade,,15.132,0.4,2
(1503) Kuopio,,9.958,0.69-1.01,3
(1504) Lappeenranta,,10.44,0.29,2
(1506) Xosa,,5.9,0.28,2
(1507) Vaasa,,34.07,0.24,3
(1508) Kemi,,9.196,0.34,3
(1509) Esclangona,*,3.247,0.13-0.35,2 B
(151) Abundantia,*,9.864,0.03-0.19,3
(1512) Oulu,,,>0.03,
(1513) Matra,,>24.,>0.1,1
(1514) Ricouxa,,10.438,0.62,3
(1516) Henry,,17.37,0.54,2
(1517) Beograd,*,6.943,0.18,2
(152) Atala,,6.246,0.38-0.50,3
(1520) Imatra,,5.23,0.35,2
(1522) Kokkola,,5.83,0.29,3
(1523) Pieksamaki,*,5.3203,0.47,3 N
(1524) Joensuu,*,9.276,0.33,3
(1527) Malmquista,,14.077,0.54,3
(1528) Conrada,,6.321,0.49,3
(1529) Oterma,,15.75,0.18,2
(153) Hilda,,5.11,0.05,2
(1533) Saimaa,,7.08,0.18,3
(1534) Nasi,,9.75,0.22,2
(15350) Naganuma,*,2.5834,8     0.19,3 N
(15362) 1996 ED,*,31.4,0.5,-3
(154) Bertha,,>12.,0.2,1
